100;527430;7;527437;5006442996;6;5006456716
150;534658;9;534667;2455116934;11;2455270402
200;521997;9;522006;1522302879;19;1522434002
250;514056;6;514062;2006826295;4;2006828243
300;542544;9;542552;2255591770;12;2255685758
350;538359;7;538366;4098395740;23;4098681839
400;531706;7;531713;5058202754;8;5058275804
450;528876;7;528884;3254155259;13;3254286121
500;550580;7;550588;5906288475;12;5906472066
550;564391;8;564398;6601541051;10;6601615517
600;533772;7;533779;5129654881;11;5129720296
650;530752;9;530761;9401021635;8;9401102717
700;548107;8;548115;5474431229;13;5474537605
750;565125;8;565134;10183846317;9;10184170134
800;495228;10;495238;5020529995;14;5020710828
850;529631;8;529639;2841147014;12;2841144408
900;528924;7;528931;3030303001;12;3030437649
950;523456;9;523464;3873018469;10;3873090034
1000;524123;7;524130;1776979590;11;1777023744
